State,District,Median Income,College%
California,"Congressional District 33 (115th Congress), California",101956,65.4
California,"Congressional District 34 (115th Congress), California",40847,25.4
California,"Congressional District 35 (115th Congress), California",57159,16.1
California,"Congressional District 36 (115th Congress), California",44567,20.6
California,"Congressional District 37 (115th Congress), California",55190,36.9
California,"Congressional District 38 (115th Congress), California",66421,23.5
California,"Congressional District 39 (115th Congress), California",85188,41.6
California,"Congressional District 4 (115th Congress), California",74074,33.3
California,"Congressional District 40 (115th Congress), California",42902,9.8
California,"Congressional District 41 (115th Congress), California",62069,18.3
California,"Congressional District 42 (115th Congress), California",76504,25.0
California,"Congressional District 43 (115th Congress), California",54614,26.5
California,"Congressional District 44 (115th Congress), California",50890,12.3
California,"Congressional District 45 (115th Congress), California",97356,56.0
California,"Congressional District 46 (115th Congress), California",61304,18.7
California,"Congressional District 47 (115th Congress), California",65450,32.0
California,"Congressional District 48 (115th Congress), California",88903,44.6
California,"Congressional District 49 (115th Congress), California",80877,44.0
California,"Congressional District 5 (115th Congress), California",73006,31.2
California,"Congressional District 50 (115th Congress), California",71692,28.2
California,"Congressional District 51 (115th Congress), California",46639,14.1
California,"Congressional District 52 (115th Congress), California",90854,57.4
California,"Congressional District 53 (115th Congress), California",69314,37.8
California,"Congressional District 6 (115th Congress), California",51932,27.5
California,"Congressional District 7 (115th Congress), California",68735,32.9
California,"Congressional District 8 (115th Congress), California",49194,17.1
California,"Congressional District 9 (115th Congress), California",61454,19.1
Colorado,"Congressional District 1 (115th Congress), Colorado",62718,47.6
Colorado,"Congressional District 2 (115th Congress), Colorado",75659,54.3
Colorado,"Congressional District 3 (115th Congress), Colorado",50817,29.2
Colorado,"Congressional District 4 (115th Congress), Colorado",67878,34.9
Colorado,"Congressional District 5 (115th Congress), Colorado",62372,37.0
Colorado,"Congressional District 6 (115th Congress), Colorado",76451,41.8
Colorado,"Congressional District 7 (115th Congress), Colorado",66063,32.5
Connecticut,"Congressional District 1 (115th Congress), Connecticut",70215,36.8
Connecticut,"Congressional District 2 (115th Congress), Connecticut",74784,35.1
Connecticut,"Congressional District 3 (115th Congress), Connecticut",67774,36.2
Connecticut,"Congressional District 4 (115th Congress), Connecticut",94862,48.8
Connecticut,"Congressional District 5 (115th Congress), Connecticut",68904,36.3
Delaware,"Congressional District (at Large) (115th Congress), Delaware",61757,31.0
Florida,"Congressional District 1 (115th Congress), Florida",53006,27.9
Florida,"Congressional District 10 (115th Congress), Florida",50151,30.3
Florida,"Congressional District 11 (115th Congress), Florida",43610,20.6
Florida,"Congressional District 12 (115th Congress), Florida",49774,26.9
Florida,"Congressional District 13 (115th Congress), Florida",48519,27.8
Florida,"Congressional District 14 (115th Congress), Florida",51410,35.3
